"Model" "fit" "Akaike" "Bayes" "Shibata" "HannanQuinn"
"1" "ARCH Norm" "arch.norm" -5.16074412888274 -5.15518870273452 -5.16074578579052 -5.15875533740798
"2" "ARCH Sstd" "arch.sstd" -5.23252285845642 -5.22326381487607 -5.23252745726109 -5.2292082059985
"3" "GARCH Norm" "garch.norm" -5.3082588062995 -5.30085157143521 -5.30826175072337 -5.30560708433316
"4" "GARCH Sstd" "garch.sstd" -5.32588222712934 -5.31477137483291 -5.3258888467355 -5.32190464417983
"5" "E-GARCH Norm" "eGarch.norm" -5.3252016445302 -5.31594260094984 -5.32520624333487 -5.32188699207227
"6" "E-GARCH Sstd" "eGarch.sstd" -5.34125952226713 -5.32829686125463 -5.34126852865227 -5.33661900882603
"7" "Gjr-Garch Norm" "gjrGarch.norm" -5.32947754616838 -5.32021850258803 -5.32948214497305 -5.32616289371046
"8" "Gjr-Garch Sstd" "gjrGarch.sstd" -5.34378354598198 -5.33082088496949 -5.34379255236712 -5.33914303254089
"9" "EWMA Norm" "EWMA.norm" -5.29468087855578 -5.29097726112364 -5.294681615257 -5.29335501757261
"10" "EWMA Sstd" "EWMA.sstd" -5.31850895678167 -5.31110172191739 -5.31851190120555 -5.31585723481533
"11" "apArch Norm" "apArch.norm" -5.32655607545563 -5.3154452231592 -5.32656269506179 -5.32257849250612
"12" "apArch Sstd" "apArch.sstd" -5.34087289182553 -5.32605842209697 -5.34088465052474 -5.33556944789285
