"fit" "Rest_5" "Rest_20" "Rest_60"
"1" "arch.norm" 31.3614004992327 62.7888365838204 64.8712546020717
"2" "arch.sstd" 1.29721501876894 1.29961560774357 1.30167261151252
"3" "garch.norm" 1.20969100888832 1.212841602916 1.21674946098947
"4" "garch.sstd" 1.20055358920959 1.20387300643859 1.20791649837788
"5" "eGarch.norm" 1.1466102516869 1.15178071230132 1.16275352020242
"6" "eGarch.sstd" 1.14739650578769 1.15396443342767 1.16782661014139
"7" "gjrGarch.norm" 1.17183242232574 1.17426654036081 1.17768822594206
"8" "gjrGarch.sstd" NA NA NA
"9" "EWMA.norm" 1.14976043908952 1.15085206313593 1.15041419493746
"10" "EWMA.sstd" 1.14690279505962 1.14752638462729 1.1472654576351
"11" "apArch.norm" 1.17687871038649 1.17967379284546 1.18686567566495
"12" "apArch.sstd" NA NA 1.17034125089793
