"fit" "Rest_5" "Rest_20" "Rest_60" "Rest_252"
"1" "arch.norm" 7.09803647963682 8.31835505485375 9.34627493934073 9.59273088869548
"2" "arch.sstd" 1.7295552545622 1.73005730160495 1.73175303945501 1.73694205280388
"3" "garch.norm" 1.58186724820523 1.58167980251309 1.58176676281312 1.58208915284102
"4" "garch.sstd" 1.58050252353416 1.58024433981546 1.58025281763874 1.58088186918861
"5" "eGarch.norm" 1.58227770124924 1.58227999062146 1.5825886615261 1.58370880879428
"6" "eGarch.sstd" 1.58478197333607 1.58480016753322 1.58515329969203 1.5866201704156
"7" "gjrGarch.norm" 1.60071252251466 1.60068081470577 1.60111027882188 1.60241619192962
"8" "gjrGarch.sstd" 1.60254837797053 1.60254196961574 1.6027929316998 1.60429745591399
"9" "EWMA.norm" 1.58413301483044 1.58437659111291 1.5844350362167 1.58463900700962
"10" "EWMA.sstd" 1.5845085244121 1.5846642917697 1.58460739370885 1.58513879017941
"11" "apArch.norm" 1.64617299191344 1.64653607148222 1.64742270318202 1.65203094955148
"12" "apArch.sstd" 1.63811139579021 1.64401667657224 1.64889895854358 1.65748943646167
