"fit" "Rest_5" "Rest_20" "Rest_60" "Rest_252"
"1" "arch.norm" 6.81088601462631 5.10795266869079 26.3888269554925 7.87141743452637
"2" "arch.sstd" 2.55011459186005 2.5507417137869 2.55154734898115 2.55073219341435
"3" "garch.norm" 2.43580713978805 2.43439903092521 2.43636757045399 2.43372393055848
"4" "garch.sstd" 2.44167461858189 2.43987288669783 2.44229667243798 2.43746472539914
"5" "eGarch.norm" 2.43971485924379 2.43965980616036 2.440178865507 2.44534150775768
"6" "eGarch.sstd" 2.443073959697 2.44153674036826 2.44135725279647 2.45365774363346
"7" "gjrGarch.norm" 2.44565533227854 2.44472126493201 2.44446116721795 2.44706681936703
"8" "gjrGarch.sstd" 2.44432661425844 2.44396135584662 2.4428073962467 2.44632503995108
"9" "EWMA.norm" 2.45616513947169 2.45721886593318 2.46231976583814 2.46025617951292
"10" "EWMA.sstd" 2.45977631395923 2.45723687495722 2.46236706234649 2.45558512779517
"11" "apArch.norm" 2.44891572084289 2.45423998532835 2.45635851194694 2.45876203384224
"12" "apArch.sstd" 2.44762145379431 2.45293044867072 2.45465656866505 2.46087720729263
