"Model" "fit" "MSE" "QL" "EstimationName" "Restimation" "ModelName" "Distribution"
"1" 1 "arch.norm" 7.09803647963682 6.81088601462631 "fit.roll" 5 "arch" "norm"
"2" 2 "arch.sstd" 1.7295552545622 2.55011459186005 "fit.roll" 5 "arch" "sstd"
"3" 3 "garch.norm" 1.58186724820523 2.43580713978805 "fit.roll" 5 "garch" "norm"
"4" 4 "garch.sstd" 1.58050252353416 2.44167461858189 "fit.roll" 5 "garch" "sstd"
"5" 5 "eGarch.norm" 1.58227770124924 2.43971485924379 "fit.roll" 5 "eGarch" "norm"
"6" 6 "eGarch.sstd" 1.58478197333607 2.443073959697 "fit.roll" 5 "eGarch" "sstd"
"7" 7 "gjrGarch.norm" 1.60071252251466 2.44565533227854 "fit.roll" 5 "gjrGarch" "norm"
"8" 8 "gjrGarch.sstd" 1.60254837797053 2.44432661425844 "fit.roll" 5 "gjrGarch" "sstd"
"9" 9 "EWMA.norm" 1.58413301483044 2.45616513947169 "fit.roll" 5 "EWMA" "norm"
"10" 10 "EWMA.sstd" 1.5845085244121 2.45977631395923 "fit.roll" 5 "EWMA" "sstd"
"11" 11 "apArch.norm" 1.64617299191344 2.44891572084289 "fit.roll" 5 "apArch" "norm"
"12" 12 "apArch.sstd" 1.63811139579021 2.44762145379431 "fit.roll" 5 "apArch" "sstd"
"13" 1 "arch.norm" 8.31835505485375 5.10795266869079 "fit.roll" 20 "arch" "norm"
"14" 2 "arch.sstd" 1.73005730160495 2.5507417137869 "fit.roll" 20 "arch" "sstd"
"15" 3 "garch.norm" 1.58167980251309 2.43439903092521 "fit.roll" 20 "garch" "norm"
"16" 4 "garch.sstd" 1.58024433981546 2.43987288669783 "fit.roll" 20 "garch" "sstd"
"17" 5 "eGarch.norm" 1.58227999062146 2.43965980616036 "fit.roll" 20 "eGarch" "norm"
"18" 6 "eGarch.sstd" 1.58480016753322 2.44153674036826 "fit.roll" 20 "eGarch" "sstd"
"19" 7 "gjrGarch.norm" 1.60068081470577 2.44472126493201 "fit.roll" 20 "gjrGarch" "norm"
"20" 8 "gjrGarch.sstd" 1.60254196961574 2.44396135584662 "fit.roll" 20 "gjrGarch" "sstd"
"21" 9 "EWMA.norm" 1.58437659111291 2.45721886593318 "fit.roll" 20 "EWMA" "norm"
"22" 10 "EWMA.sstd" 1.5846642917697 2.45723687495722 "fit.roll" 20 "EWMA" "sstd"
"23" 11 "apArch.norm" 1.64653607148222 2.45423998532835 "fit.roll" 20 "apArch" "norm"
"24" 12 "apArch.sstd" 1.64401667657224 2.45293044867072 "fit.roll" 20 "apArch" "sstd"
"25" 1 "arch.norm" 9.34627493934073 26.3888269554925 "fit.roll" 60 "arch" "norm"
"26" 2 "arch.sstd" 1.73175303945501 2.55154734898115 "fit.roll" 60 "arch" "sstd"
"27" 3 "garch.norm" 1.58176676281312 2.43636757045399 "fit.roll" 60 "garch" "norm"
"28" 4 "garch.sstd" 1.58025281763874 2.44229667243798 "fit.roll" 60 "garch" "sstd"
"29" 5 "eGarch.norm" 1.5825886615261 2.440178865507 "fit.roll" 60 "eGarch" "norm"
"30" 6 "eGarch.sstd" 1.58515329969203 2.44135725279647 "fit.roll" 60 "eGarch" "sstd"
"31" 7 "gjrGarch.norm" 1.60111027882188 2.44446116721795 "fit.roll" 60 "gjrGarch" "norm"
"32" 8 "gjrGarch.sstd" 1.6027929316998 2.4428073962467 "fit.roll" 60 "gjrGarch" "sstd"
"33" 9 "EWMA.norm" 1.5844350362167 2.46231976583814 "fit.roll" 60 "EWMA" "norm"
"34" 10 "EWMA.sstd" 1.58460739370885 2.46236706234649 "fit.roll" 60 "EWMA" "sstd"
"35" 11 "apArch.norm" 1.64742270318202 2.45635851194694 "fit.roll" 60 "apArch" "norm"
"36" 12 "apArch.sstd" 1.64889895854358 2.45465656866505 "fit.roll" 60 "apArch" "sstd"
"37" 1 "arch.norm" 9.59273088869548 7.87141743452637 "fit.roll" 252 "arch" "norm"
"38" 2 "arch.sstd" 1.73694205280388 2.55073219341435 "fit.roll" 252 "arch" "sstd"
"39" 3 "garch.norm" 1.58208915284102 2.43372393055848 "fit.roll" 252 "garch" "norm"
"40" 4 "garch.sstd" 1.58088186918861 2.43746472539914 "fit.roll" 252 "garch" "sstd"
"41" 5 "eGarch.norm" 1.58370880879428 2.44534150775768 "fit.roll" 252 "eGarch" "norm"
"42" 6 "eGarch.sstd" 1.5866201704156 2.45365774363346 "fit.roll" 252 "eGarch" "sstd"
"43" 7 "gjrGarch.norm" 1.60241619192962 2.44706681936703 "fit.roll" 252 "gjrGarch" "norm"
"44" 8 "gjrGarch.sstd" 1.60429745591399 2.44632503995108 "fit.roll" 252 "gjrGarch" "sstd"
"45" 9 "EWMA.norm" 1.58463900700962 2.46025617951292 "fit.roll" 252 "EWMA" "norm"
"46" 10 "EWMA.sstd" 1.58513879017941 2.45558512779517 "fit.roll" 252 "EWMA" "sstd"
"47" 11 "apArch.norm" 1.65203094955148 2.45876203384224 "fit.roll" 252 "apArch" "norm"
"48" 12 "apArch.sstd" 1.65748943646167 2.46087720729263 "fit.roll" 252 "apArch" "sstd"
"49" 1 "arch.norm" 6.41129928848798 29.9939911085271 "fit.mov2" 5 "arch" "norm"
